Strike,Date,Year,Tribal Agency,Location,Latitude,Longitude,Time Period,Minimum All Targets,Maximum All Targets,Minimum Domestic Buildings,Maximum Domestic Buildings,Minimum Religious Buildings,Maximum Religious Buildings,Minimum Other Buildings,Maximum Other Buildings,Minimum vehicles,Maximum vehicles,Strucutral Damage,Minimum Number of Missiles Reported Fired,Maximum Number of Missiles Reported FIred,Minimum Total Reported Killed,Maximum Total Reported Killed,Minimum Civilians Reported Killed,Maximum Civilians Reported Killed,Minimum Children Reported Killed,Maximum Children Reported Killed,Minimum Injured,Maximum Injured
Ob268,30/03/2012,2012,NWA,Miram Shah,33.00053,70.065479,Night,1,7,1,1,0,0,0,6,0,0,4,2,2,3,4,0,0,0,0,3,3
Ob269,29/04/2012,2012,NWA,Miram Shah,33.00053,70.065479,Afternoon,0,2,0,1,0,0,0,1,0,0,3,2,2,3,6,0,0,0,0,1,3
Ob270,5/5/12,2012,NWA,Darnashtra,32.540735,69.436512,Night,1,1,1,1,0,0,0,0,0,0,4,2,4,8,10,0,0,0,0,1,3
Ob271,23/05/2012,2012,NWA,Darpa Khel,32.987644,70.050845,Night,1,1,1,1,0,0,0,0,0,0,3,Unreported,Unreported,1,5,0,0,0,0,1,2
Ob272,24/05/2012,2012,NWA,Hisokhel,32.954322,70.266516,Morning,0,3,0,1,0,1,0,0,0,1,4,2,2,5,12,0,8,0,0,3,4
Ob273,26/05/2012,2012,NWA,Miram Shah,33.00053,70.065479,Night,0,2,0,1,0,0,0,1,0,0,4,2,2,1,4,0,0,0,0,1,2
Ob274,28/05/2012,2012,NWA,Khushali,32.938927,70.247355,Night,1,2,1,1,0,0,0,0,0,1,4,4,8,4,10,0,0,0,0,4,4
Ob275,28/05/2012,2012,NWA,Zangar Khel,32.977744,70.226583,Night,1,2,0,1,0,0,0,0,1,1,1,1,2,2,5,0,0,0,0,0,0
Ob276,2/6/12,2012,SWA,Kari Kot,32.326451,69.477754,Morning,1,1,0,0,0,0,0,0,1,1,-,2,4,2,4,0,0,0,0,0,0
Ob277,3/6/12,2012,SWA,Barmal,32.464042,69.32622,Morning,1,2,1,1,0,0,0,0,0,1,4,4,4,0,10,0,0,0,0,4,10
Ob278,4/6/12,2012,NWA,Hisokhel,32.954322,70.266516,Night or morning,1,2,1,1,0,0,0,0,0,1,4,2,6,1,18,0,6,0,0,3,6
Ob279,13/06/2012,2012,NWA,Isha Check Point,32.966934,70.111426,Evening,1,2,0,0,0,0,0,0,1,2,-,2,3,2,4,0,0,0,0,0,0
Ob280,14/06/2012,2012,NWA,Miram Shah,33.00053,70.065479,Night,0,2,0,1,0,0,0,1,0,0,4,2,2,1,4,0,0,0,0,2,3
Ob281,26/06/2012,2012,NWA,Darnashtra,32.540735,69.436512,Evening,1,1,1,1,0,0,0,0,0,0,4,2,2,4,7,0,0,0,0,2,7
Ob282,1/7/12,2012,NWA,Darnashtra,32.540735,69.436512,Night,1,1,1,1,0,0,0,0,0,0,4,2,2,6,9,0,0,0,0,2,3
Ob283,6/7/12,2012,NWA,Maizer,32.906109,69.748807,Evening or night,1,5,1,1,0,0,0,0,0,4,4,2,8,13,24,3,18,0,0,2,22
Ob284,23/07/2012,2012,NWA,Darnashtra,32.540735,69.436512,Evening,1,1,1,1,0,0,0,0,0,0,4,4,8,11,14,6,14,0,0,2,11
Ob285,29/07/2012,2012,NWA,Khushali,32.938927,70.247355,Afternoon,0,2,0,1,0,0,0,0,0,1,4,6,6,4,7,0,3,0,0,4,4
Ob286,18/08/2012,2012,NWA,Shawal NWA,32.61581,69.489212,Morning or afternoon,1,3,0,1,0,0,0,0,1,2,-,2,4,5,12,1,1,0,0,2,9
Ob287,19/08/2012,2012,NWA,Shawal NWA,32.61581,69.489212,Night,2,2,0,0,0,0,0,0,2,2,-,4,4,4,7,0,0,0,0,2,3
Ob288,19/08/2012,2012,NWA,Shawal NWA,32.61581,69.489212,,0,1,0,1,0,0,0,0,0,0,-,2,2,2,3,0,0,0,0,2,2
Ob289,21/08/2012,2012,NWA,Hamzoni,32.97364,69.983339,Evening,1,2,1,1,0,0,0,0,0,1,-,2,2,4,25,1,3,1,1,2,2
Ob290,24/08/2012,2012,NWA,Shawal NWA,32.61581,69.489212,Morning,1,1,1,1,0,0,0,0,0,0,4,2,12,13,22,0,0,0,0,4,14
Ob291,24/08/2012,2012,SWA,Darnashtra,32.540735,69.436512,Afternoon,1,1,1,1,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0
Ob292,24/08/2012,2012,SWA,Darnashtra,32.540735,69.436512,Afternoon,2,3,0,1,0,0,0,0,2,2,-,2,2,0,0,0,0,0,0,0,0
Ob293,1/9/12,2012,NWA,Deegan,32.960354,69.867332,Morning,1,2,1,1,0,0,0,0,0,1,4-Feb,4,7,4,6,0,0,0,0,2,3
Ob294,21/09/2012,2012,NWA,Mohammad Khel,32.957221,69.885192,Morning,1,2,0,0,0,0,0,0,1,2,-,2,3,3,4,0,0,0,0,2,3
Ob295,24/09/2012,2012,NWA,Mosaki,32.965701,70.274498,Evening,1,2,1,1,0,0,0,1,0,0,3,2,2,3,8,0,0,0,0,2,2
Ob296,1/10/12,2012,NWA,Haider Khel,32.945661,70.317135,Morning,0,1,0,0,0,0,0,0,0,1,-,2,2,2,4,0,0,0,0,0,0
Ob297,10/10/12,2012,NWA,Hurmuz,32.97175,70.269263,Night,1,1,1,1,0,0,0,0,0,0,3,4,6,3,6,0,0,0,0,3,3
Ob298,11/10/12,2012,Orakzai,Khadezai,33.640696,70.775776,Morning or afternoon,4,4,3,3,1,1,0,0,0,0,4,4,4,16,26,0,2,0,0,5,15
Ob299,24/10/2012,2012,NWA,Tabbi,32.947066,70.148732,Afternoon,0,2,0,1,0,0,0,0,0,1,-,2,3,1,1,1,1,0,0,6,9
Ob300,29/11/2012,2012,SWA,Shin Warsak,32.259265,69.514618,Afternoon,0,2,0,1,0,0,0,0,0,1,-,2,3,1,4,0,0,0,0,3,4
Ob301,1/12/12,2012,SWA,Ghwa Khwa,32.061901,69.634949,Afternoon,1,2,0,1,0,0,0,0,1,1,4,2,3,1,4,0,0,0,0,3,3
Ob302,6/12/12,2012,NWA,Murbarak Shahi,32.957617,70.168476,Morning,1,1,1,1,0,0,0,0,0,0,3,2,4,2,11,1,1,0,0,1,6
Ob303,9/12/12,2012,NWA,Tapi Tool,33.100098,70.041575,Morning,1,2,1,1,0,0,0,0,0,1,3,4,4,2,4,0,3,0,0,0,0
Ob304,21/12/2012,2012,NWA,Hisokhel,32.954322,70.266516,Night,1,1,1,1,0,0,0,0,0,0,4,2,2,3,6,0,0,0,0,2,2
Ob305,29/12/2012,2012,NWA,Shawal NWA,32.61581,69.489212,,1,1,1,1,0,0,0,0,0,0,-,2,8,4,5,0,0,0,0,2,2
Ob306,2/1/13,2013,SWA,Sara Khwara,32.583271,69.455566,Night,1,1,0,0,0,0,0,0,1,1,-,Unreported,Unreported,6,11,0,0,0,0,0,0
Ob307,3/1/13,2013,NWA,Murbarak Shahi,32.957617,70.168476,Morning,1,1,0,0,0,0,0,0,1,1,-,2,2,3,6,0,0,0,0,1,1
Ob308,6/1/13,2013,SWA,Babar Ghar,32.654768,70.190835,Night,1,3,1,3,0,0,0,0,0,0,4,10,10,8,18,0,0,0,0,3,7
Ob309,8/1/13,2013,NWA,Haider Khel,32.945661,70.317135,Night,1,2,1,2,0,0,0,0,0,0,4,3,8,4,9,0,2,0,1,1,4
Ob310,8/1/13,2013,NWA,Hisokhel,32.954322,70.266516,Night,1,1,1,1,0,0,0,0,0,0,-,2,11,0,9,0,0,0,0,1,4
Ob311,10/1/13,2013,NWA,Khushali,32.938927,70.247355,Morning,1,2,1,1,0,0,0,0,0,1,4,2,4,3,6,0,0,0,0,0,0
Ob312,6/2/13,2013,NWA,Spinwan,33.173695,70.401978,Afternoon,1,1,1,1,0,0,0,0,0,0,4,2,6,3,5,0,2,0,0,1,1
Ob313,8/2/13,2013,SWA,Babar Ghar,32.654768,70.190835,Evening,1,2,1,2,0,0,0,0,0,0,4,2,6,6,9,0,0,0,0,2,6
Ob314,10/3/13,2013,NWA,Mohammad Khel,32.957221,69.885192,Morning,1,2,1,1,0,0,0,0,0,1,4,2,2,1,3,0,0,0,0,1,1
Ob315,21/03/2013,2013,NWA,Newey Adda,32.905893,69.749022,Night,0,2,0,1,0,0,0,0,0,1,-,2,2,1,4,0,0,0,0,1,1
Ob316,14/04/2013,2013,NWA,Datta Khel,32.909136,69.76078,Evening,1,2,1,1,0,0,0,0,0,1,4,2,3,4,6,0,0,0,0,2,2
Ob317,17/04/2013,2013,SWA,Babar Ghar,32.654768,70.190835,Night,1,1,1,1,0,0,0,0,0,0,4,2,12,4,6,0,0,0,0,2,7
Ob318,29/05/2013,2013,NWA,Chashma,32.97573705,70.0818193,Night,1,1,1,1,0,0,0,0,0,0,3,2,2,3,7,0,0,0,0,1,4
Ob319,7/6/13,2013,NWA,Shawal NWA,32.61581,69.489212,Night,1,2,1,1,0,0,0,0,0,1,4,2,2,7,10,0,0,0,0,3,4
Ob320,3/7/13,2013,NWA,Danda Darpakhel,33.037625,70.051998,Night,1,4,1,2,0,0,0,0,0,2,4,2,4,16,18,0,0,0,0,5,5
Ob321,13/07/2013,2013,NWA,Mosaki,32.965701,70.274498,Afternoon or night,1,2,0,1,0,0,0,0,1,1,2,2,2,2,3,0,0,0,0,0,0
Ob322,28/07/2013,2013,NWA,Shawal NWA,32.61581,69.489212,Evening,0,1,0,1,0,0,0,0,0,0,4,2,2,5,8,0,0,0,0,2,4
Ob323,31/08/2013,2013,NWA,Mosaki,32.965701,70.274498,Afternoon,0,3,0,1,0,1,0,0,0,1,4,Unreported,Unreported,3,4,0,0,0,0,1,3
Ob324,6/9/13,2013,NWA,Darga Mandi,33.040435,70.047863,Night,1,1,1,1,0,0,0,0,0,0,4,2,3,5,7,0,0,0,0,3,7
Ob325,22/09/2013,2013,SWA,Palgai,32.638797,69.768162,Afternoon,1,2,1,2,0,0,0,0,0,0,3,2,2,6,7,0,0,0,0,2,4
Ob326,29/09/2013,2013,NWA,Darga Mandi,33.040435,70.047863,Morning,1,1,1,1,0,0,0,0,0,0,4,2,2,3,6,0,0,0,0,1,3
Ob327,30/09/2013,2013,NWA,Boya,32.944149,69.900169,Night,1,1,1,1,0,0,0,0,0,0,-,2,2,1,4,0,0,0,0,2,4
Ob328,31/10/2013,2013,NWA,Miram Shah,33.00053,70.065479,Night,1,2,1,1,0,0,0,0,0,1,3,2,2,0,5,0,0,0,0,3,3
Ob329,1/11/13,2013,NWA,Danda Darpakhel,33.037625,70.051998,Evening,2,2,1,1,0,0,0,0,1,1,-,2,4,4,7,0,0,0,0,2,2
Ob330,21/11/2013,2013,KPK,Thal,33.365481,70.547308,Morning,1,1,0,0,1,1,0,0,0,0,2,3,3,6,9,0,0,0,0,1,9
Ob331,29/11/2013,2013,NWA,Miram Shah,33.00053,70.065479,Night,1,1,1,1,0,0,0,0,0,0,4,2,2,1,3,0,0,0,0,1,2
Ob332,25/12/2013,2013,NWA,Miram Shah,33.00053,70.065479,Night,1,1,1,1,0,0,0,0,0,0,-,2,2,3,4,0,0,0,0,1,1
