Strike,Date,Year,Tribal Agency,Location,Latitude,Longitude,Time Period,Minimum All Targets,Maximum All Targets,Minimum Domestic Buildings,Maximum Domestic Buildings,Minimum Religious Buildings,Maximum Religious Buildings,Minimum Other Buildings,Maximum Other Buildings,Minimum vehicles,Maximum vehicles,Strucutral Damage,Minimum Number of Missiles Reported Fired,Maximum Number of Missiles Reported FIred,Minimum Total Reported Killed,Maximum Total Reported Killed,Minimum Civilians Reported Killed,Maximum Civilians Reported Killed,Minimum Children Reported Killed,Maximum Children Reported Killed,Minimum Injured,Maximum Injured
Ob9,26/03/2009,2009,NWA,Sokhel,32.953548,70.26701,,1,1,1,1,0,0,0,0,0,0,-,2,2,4,5,0,5,0,0,5,5
Ob10,1/4/09,2009,Orakzai,Khadezai,33.640696,70.775776,Morning,1,1,1,1,0,0,0,0,0,0,4,2,2,10,14,5,5,3,3,4,16
Ob11,4/4/09,2009,NWA,Khadar Khel,32.97355,69.62063,Night,1,2,1,2,0,0,0,0,0,0,4,2,2,13,15,8,13,3,5,1,1
Ob12,8/4/09,2009,SWA,Ganki Khel,32.288221,69.524789,,1,1,0,0,0,0,0,0,1,1,2,2,2,3,4,0,0,0,0,2,5
Ob13,19/04/2009,2009,SWA,Zari Noor,32.318292,69.522042,Morning,1,4,1,2,0,0,0,0,0,2,4,2,2,0,8,0,8,0,0,3,5
Ob14,29/04/2009,2009,SWA,Kaniguram,32.5181,69.7847,Evening,0,2,0,1,0,0,0,0,0,1,3,2,2,1,10,0,4,0,0,4,4
Ob15,9/5/09,2009,SWA,Sararogha,32.515823,70.02368,Afternoon,0,4,0,1,0,1,0,1,0,1,4,4,4,6,25,0,4,0,0,7,10
Ob16,12/5/09,2009,SWA,Sara Khwara,32.583271,69.455566,,1,4,1,4,0,0,0,0,0,0,4,2,4,5,9,0,0,0,0,4,4
Ob17,16/05/2009,2009,NWA,Khaisoori,32.876181,70.241282,Morning,0,3,0,1,0,1,0,0,0,1,4,2,2,25,40,9,9,0,0,2,2
Ob18,14/06/2009,2009,SWA,Ladha,32.565354,69.830362,Morning,0,2,0,0,0,0,0,0,0,2,-,Unreported,Unreported,3,5,0,3,0,0,0,0
Ob19,18/06/2009,2009,SWA,Ganki Khel,32.288221,69.524789,Morning or night,1,1,1,1,0,0,0,0,0,0,4,3,4,12,18,4,4,0,0,10,10
Ob20,23/06/2009,2009,SWA,Makeen,32.621,69.839367,Morning,1,3,1,1,0,0,0,0,0,2,4,1,3,5,6,0,0,0,0,7,7
Ob21,23/06/2009,2009,SWA,Makeen,32.621,69.839367,,1,1,0,0,0,0,1,1,0,0,-,2,3,60,83,18,50,10,10,27,27
Ob22,3/7/09,2009,SWA,Mantoi,32.56583,69.600234,,1,1,0,0,1,1,0,0,0,0,4,3,3,0,5,0,5,0,0,0,0
Ob23,3/7/09,2009,SWA,Sarwaiki Tehsil,32.452617,69.90622,Morning,1,1,0,0,0,0,1,1,0,0,-,3,3,10,17,0,0,0,0,27,35
Ob24,7/7/09,2009,SWA,Makeen,32.621,69.839367,Morning or afternoon,1,1,1,1,0,0,0,0,0,0,4,2,2,14,18,0,0,0,0,10,10
Ob25,8/7/09,2009,SWA,Ladha,32.565354,69.830362,Night,1,1,1,1,0,0,0,0,0,0,-,4,6,8,10,0,0,0,0,5,12
Ob26,8/7/09,2009,SWA,Ladha,32.565354,69.830362,Afternoon,5,5,0,0,0,0,0,0,5,5,-,5,5,35,40,0,0,0,0,1,1
Ob27,10/7/09,2009,SWA,Painda Khel,32.317312,69.861846,Evening or night,1,1,1,1,0,0,0,0,0,0,4,2,2,3,5,0,0,0,0,3,3
Ob28,17/07/2009,2009,NWA,Garyom,32.716316,70.002737,,1,2,1,2,0,0,0,0,0,0,4,1,4,5,6,0,0,0,0,4,6
Ob29,5/8/09,2009,SWA,Ladha,32.565354,69.830362,Night,1,1,1,1,0,0,0,0,0,0,4,2,4,1,12,1,4,0,0,5,5
Ob30,11/8/09,2009,SWA,Kaniguram,32.5181,69.7847,Morning,1,1,1,1,0,0,0,0,0,0,-,2,3,12,25,0,6,4,4,5,7
Ob31,21/08/2009,2009,NWA,Danda Darpakhel,33.037625,70.051998,Night,2,5,1,5,0,0,1,0,0,0,4,3,3,17,21,9,13,6,6,2,2
Ob32,27/08/2009,2009,SWA,Taparghai,32.5181,69.7847,Afternoon,1,1,1,1,0,0,0,0,0,0,-,2,3,8,10,0,0,0,0,6,9
Ob33,7/9/09,2009,NWA,Machi Khel,33.030398,70.247011,Evening,1,3,1,1,0,1,0,0,0,1,3,2,2,5,8,3,3,0,0,2,7
Ob34,8/9/09,2009,NWA,Darga Mandi,33.040435,70.047863,Evening,1,1,1,1,0,0,0,0,0,0,2,2,2,10,15,5,5,3,3,4,5
Ob35,14/09/2009,2009,NWA,Khushali,32.938927,70.247355,Night or morning,0,1,0,0,0,0,0,0,0,1,-,Unreported,Unreported,5,5,0,0,0,0,2,3
Ob36,24/09/2009,2009,NWA,Danda Darpakhel,33.037625,70.051998,,1,1,1,1,0,0,0,0,0,0,4,2,4,10,12,0,12,0,0,5,5
Ob37,29/09/2009,2009,NWA,Sararogha,32.515823,70.02368,Afternoon,1,1,1,1,0,0,0,0,0,0,4,2,2,5,6,0,0,0,0,2,6
Ob38,29/09/2009,2009,NWA,Danda Darpakhel,33.037625,70.051998,Evening,1,1,1,1,0,0,0,0,0,0,4,1,1,4,9,0,4,0,0,2,6
Ob39,30/09/2009,2009,NWA,Norak,32.980948,70.171738,Night,0,3,0,1,0,0,0,0,0,2,-,2,2,6,9,0,0,0,0,2,5
Ob40,15/10/2009,2009,NWA,Danda Darpakhel,33.037625,70.051998,Night,1,1,1,1,0,0,0,0,0,0,4,2,3,3,4,0,0,0,0,7,7
Ob41,21/10/2009,2009,NWA,Spalaga,32.923582,70.126977,,1,1,1,1,0,0,0,0,0,0,-,Unreported,Unreported,3,3,0,0,0,0,8,8
Ob42,24/10/2009,2009,Bajaur,Damadola,34.805556,71.466667,,1,1,1,1,0,0,0,0,0,0,4,1,2,20,30,0,0,0,0,8,8
Ob43,5/11/09,2009,NWA,Norak,32.980948,70.171738,Night,1,1,1,1,0,0,0,0,0,0,-,2,2,4,6,0,0,0,0,8,8
Ob44,18/11/2009,2009,NWA,Mohammad Khel,32.957221,69.885192,Night,1,1,1,1,0,0,0,0,0,0,-,2,2,3,6,0,0,0,0,2,15
Ob45,20/11/2009,2009,NWA,Aziz Khel,33.084063,70.206671,Morning,1,2,1,2,0,0,0,0,0,0,-,2,2,3,14,3,3,1,1,2,12
Ob46,8/12/09,2009,NWA,Spalaga,32.923582,70.126977,,1,2,0,1,0,0,0,0,1,1,-,2,2,3,4,0,0,0,0,3,3
Ob47,10/12/09,2009,SWA,Ladha,32.565354,69.830362,,1,1,1,1,0,0,0,0,0,0,-,2,2,6,6,0,0,0,0,8,8
Ob48,17/12/2009,2009,NWA,Datta Khel,32.909136,69.76078,Night or morning,1,4,1,3,0,0,0,0,0,1,3,2,8,2,2,0,0,0,0,0,0
Ob49,17/12/2009,2009,NWA,Ambar Shaga,32.908451,69.760566,Afternoon,1,2,1,2,0,0,0,0,0,0,4,10,10,12,16,6,6,0,0,0,0
Ob50,18/12/2009,2009,NWA,Pai Khel,32.971084,69.839566,Afternoon,0,1,0,1,0,0,0,0,0,0,-,3,4,5,8,5,5,0,0,4,5
Ob51,26/12/2009,2009,NWA,Saidgai,32.9328,70.4,Evening,1,1,1,1,0,0,0,0,0,0,4,2,2,13,20,6,6,0,0,12,12
Ob52,31/12/2009,2009,NWA,Machi Khel,33.030398,70.247011,Evening,1,2,1,2,0,0,0,0,0,0,4,2,2,3,7,3,3,1,1,2,2
Ob53,1/1/10,2010,NWA,Murbarak Shahi,32.957617,70.168476,Morning or evening,1,1,0,0,0,0,0,0,1,1,-,2,2,2,3,0,0,0,0,3,4
Ob54,3/1/10,2010,NWA,Mosaki,32.965701,70.274498,Evening,1,2,1,1,0,0,0,0,0,1,4,1,2,5,5,1,2,1,1,2,2
Ob55,6/1/10,2010,NWA,Sanzali,32.963091,69.593711,Afternoon,1,1,1,1,0,0,0,0,0,0,4,2,2,5,7,0,6,0,0,5,5
Ob56,6/1/10,2010,NWA,Sanzali,32.963091,69.593711,Afternoon,1,1,1,1,0,0,0,0,0,0,-,1,1,5,9,5,5,0,0,3,3
Ob57,8/1/10,2010,NWA,Tabbi,32.947066,70.148732,Evening,0,3,0,1,0,0,0,1,0,1,3,1,2,5,6,5,5,1,1,3,3
Ob58,9/1/10,2010,NWA,Ismail Khel,32.967555,69.692245,Evening,1,1,1,1,0,0,0,0,0,0,-,2,2,4,5,0,0,0,0,5,5
Ob59,14/01/2010,2010,NWA/SWA Border,Shaktoi,32.6903,70.0069,Morning,1,1,1,1,0,0,0,0,0,0,-,2,2,15,18,0,0,0,0,7,14
Ob60,15/01/2010,2010,NWA,Zanani,32.971444,70.278168,Evening,1,1,1,1,0,0,0,0,0,0,4,4,5,5,10,0,0,0,0,3,3
Ob61,15/01/2010,2010,SWA,Shaktoi,32.6903,70.0069,Evening,1,2,1,1,0,1,0,0,0,0,-,2,4,6,10,0,0,0,0,0,0
Ob62,17/01/2010,2010,SWA,Shaktoi,32.6903,70.0069,Night or morning,1,1,1,1,0,0,0,0,0,0,4,2,4,14,20,0,0,0,0,4,4
Ob63,19/01/2010,2010,NWA,Deegan,32.960354,69.867332,Evening,1,2,1,1,0,0,0,0,0,1,-,2,2,5,9,0,0,0,0,4,4
Ob64,29/01/2010,2010,NWA,Mohammad Khel,32.957221,69.885192,Night,1,1,1,1,0,0,0,0,0,0,-,3,3,2,15,0,0,0,0,4,4
Ob65,2/2/10,2010,NWA,Deegan,32.960354,69.867332,,1,5,1,3,0,0,0,0,0,2,4,16,19,23,24,0,0,0,0,0,0
Ob66,2/2/10,2010,NWA,Mohammad Khel,32.957221,69.885192,,0,0,0,0,0,0,0,0,0,0,-,Unreported,Unreported,0,0,0,0,0,0,0,0
Ob67,2/2/10,2010,NWA,Pai Khel,32.971084,69.839566,,2,2,0,0,0,0,0,0,2,2,-,Unreported,Unreported,0,0,0,0,0,0,0,0
Ob68,2/2/10,2010,NWA,Toor Narai,32.939755,69.881702,,0,0,0,0,0,0,0,0,0,0,-,Unreported,Unreported,9,9,5,5,0,0,0,0
Ob69,14/02/2010,2010,NWA,Norak,32.980948,70.171738,Afternoon,0,2,0,1,0,0,0,0,0,1,4,2,2,5,7,0,0,0,0,4,4
Ob70,15/02/2010,2010,NWA,Ghundikala,32.976448,70.244737,Morning,1,1,0,0,0,0,0,0,1,1,-,1,2,4,5,0,0,0,0,0,0
Ob71,17/02/2010,2010,NWA,Tapi Tool,33.100098,70.041575,Morning,1,1,1,1,0,0,0,0,0,0,-,2,2,4,4,0,0,0,0,2,3
Ob72,18/02/2010,2010,NWA,Danda Darpakhel,33.037625,70.051998,Afternoon,0,2,0,1,0,0,0,0,0,1,3,2,2,3,5,0,0,0,0,4,4
Ob73,24/02/2010,2010,NWA,Darga Mandi,33.040435,70.047863,Afternoon,1,2,1,1,0,0,0,0,0,1,4,3,3,5,13,5,6,1,1,6,6
Ob74,8/3/10,2010,NWA,Miram Shah,33.00053,70.065479,Evening,0,3,0,1,0,0,0,2,0,0,4,3,5,9,9,0,0,0,0,2,2
